id_CNAE;CnaeSecao;CnaeDivisao;CnaeDescricao 
74;O;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
75;P;85;EDUCAÇÃO
76;Q;86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
77;Q;87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES
78;Q;88;SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO
79;R;90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS
80;R;91;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL
81;R;92;ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS
82;R;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
83;S;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
84;S;95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
85;S;96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
86;T;97;SERVIÇOS DOMÉSTICOS
87;U;99;ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
